NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-31_00:07:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_00:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_00:13:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_00:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_05:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_05:12:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_05:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_10:00:02_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_10:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_10:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_10:05:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_15:00:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_15:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_15:06:02_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_15:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_15:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_15:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:00:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:08:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:11:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:13:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-31_20:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-08-01_00:00:02_monthly                    64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-08-01_00:00:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-08-01_00:00:02_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-08-01_00:03:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-08-01_00:03:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-08-01_00:03:01_monthly                     8K      -   160K  -
